CoverPhotoID,CoverPhotoIDBook,CoverPhotoUrl
201,11,http://abc.com/201.png
202,12,http://abc.com/202.png
203,13,http://abc.com/203.png
204,14,http://abc.com/204.png
205,15,http://abc.com/205.png
206,16,http://abc.com/206.png
207,17,http://abc.com/207.png
208,18,http://abc.com/208.png
209,19,http://abc.com/209.png
210,20,http://abc.com/210.png
211,11,http://abc.com/211.png
212,12,http://abc.com/212.png
213,13,http://abc.com/213.png
214,14,http://abc.com/214.png
215,15,http://abc.com/215.png
216,16,http://abc.com/216.png
217,17,http://abc.com/217.png
218,18,http://abc.com/218.png
219,19,http://abc.com/219.png
220,20,http://abc.com/220.png
221,11,http://abc.com/221.png
222,12,http://abc.com/222.png
223,13,http://abc.com/223.png
224,14,http://abc.com/224.png
225,15,http://abc.com/225.png
226,16,http://abc.com/226.png
227,17,http://abc.com/227.png
228,18,http://abc.com/228.png
229,19,http://abc.com/229.png
230,20,http://abc.com/230.png
